datetime,cpu,mem
Thu Oct 27 00:28:36 GMT 2022,25,1391672
Thu Oct 27 00:28:37 GMT 2022,0,1392644
Thu Oct 27 00:28:39 GMT 2022,0,1430703
Thu Oct 27 00:28:40 GMT 2022,0,1437015
Thu Oct 27 00:28:42 GMT 2022,0,1456644
Thu Oct 27 00:28:44 GMT 2022,59,1444278
Thu Oct 27 00:28:45 GMT 2022,59,1447518
Thu Oct 27 00:28:47 GMT 2022,59,1452273
Thu Oct 27 00:28:48 GMT 2022,59,1437685
Thu Oct 27 00:28:50 GMT 2022,0,1436146
Thu Oct 27 00:28:52 GMT 2022,0,1436430
Thu Oct 27 00:28:53 GMT 2022,0,1440914
Thu Oct 27 00:28:55 GMT 2022,0,1445829
Thu Oct 27 00:28:57 GMT 2022,54,1445778
Thu Oct 27 00:28:58 GMT 2022,54,1445886
Thu Oct 27 00:29:01 GMT 2022,54,1447576
Thu Oct 27 00:29:02 GMT 2022,-1.9,1446060
Thu Oct 27 00:29:04 GMT 2022,-1.9,1446096
Thu Oct 27 00:29:06 GMT 2022,-1.9,1447835
Thu Oct 27 00:29:08 GMT 2022,0,1446022
Thu Oct 27 00:29:10 GMT 2022,0,1446174
Thu Oct 27 00:29:12 GMT 2022,0,1447993
Thu Oct 27 00:29:14 GMT 2022,63,1433218
Thu Oct 27 00:29:16 GMT 2022,63,1439031
