datetime,cpu,mem
Thu Oct 27 00:37:22 GMT 2022,33,1408787
Thu Oct 27 00:37:23 GMT 2022,0,1407682
Thu Oct 27 00:37:24 GMT 2022,0,1420481
Thu Oct 27 00:37:26 GMT 2022,0,1421467
Thu Oct 27 00:37:28 GMT 2022,0,1434007
Thu Oct 27 00:37:29 GMT 2022,56,1440559
Thu Oct 27 00:37:31 GMT 2022,56,1431791
Thu Oct 27 00:37:33 GMT 2022,56,1451343
Thu Oct 27 00:37:35 GMT 2022,0,1450327
Thu Oct 27 00:37:36 GMT 2022,0,1450789
Thu Oct 27 00:37:38 GMT 2022,0,1443884
Thu Oct 27 00:37:40 GMT 2022,0,1451830
Thu Oct 27 00:37:42 GMT 2022,0,1457430
Thu Oct 27 00:37:44 GMT 2022,0,1460303
Thu Oct 27 00:37:46 GMT 2022,0,1458926
Thu Oct 27 00:37:48 GMT 2022,0,1459600
Thu Oct 27 00:37:50 GMT 2022,0,1460937
Thu Oct 27 00:37:52 GMT 2022,66,1459476
Thu Oct 27 00:37:54 GMT 2022,66,1457401
Thu Oct 27 00:37:56 GMT 2022,66,1461106
Thu Oct 27 00:37:58 GMT 2022,0,1459893
Thu Oct 27 00:38:01 GMT 2022,0,1454477
Thu Oct 27 00:38:03 GMT 2022,0,1461427
Thu Oct 27 00:38:05 GMT 2022,70,1461480
