datetime,cpu,mem
Thu Oct 27 00:08:03 GMT 2022,0,1403258
Thu Oct 27 00:08:04 GMT 2022,0,1400761
Thu Oct 27 00:08:05 GMT 2022,0,1423244
Thu Oct 27 00:08:07 GMT 2022,0,1426108
Thu Oct 27 00:08:09 GMT 2022,0,1439322
Thu Oct 27 00:08:11 GMT 2022,59,1435066
Thu Oct 27 00:08:12 GMT 2022,59,1434937
Thu Oct 27 00:08:14 GMT 2022,59,1437715
Thu Oct 27 00:08:15 GMT 2022,59,1422286
Thu Oct 27 00:08:17 GMT 2022,51,1420707
Thu Oct 27 00:08:19 GMT 2022,51,1419711
Thu Oct 27 00:08:20 GMT 2022,51,1427987
Thu Oct 27 00:08:22 GMT 2022,51,1429562
Thu Oct 27 00:08:24 GMT 2022,0,1427519
Thu Oct 27 00:08:25 GMT 2022,0,1428399
Thu Oct 27 00:08:27 GMT 2022,0,1429906
Thu Oct 27 00:08:29 GMT 2022,57,1429016
Thu Oct 27 00:08:31 GMT 2022,57,1428286
Thu Oct 27 00:08:33 GMT 2022,57,1422533
Thu Oct 27 00:08:35 GMT 2022,-19.8,1420947
Thu Oct 27 00:08:37 GMT 2022,-19.8,1419487
Thu Oct 27 00:08:39 GMT 2022,-19.8,1421034
Thu Oct 27 00:08:41 GMT 2022,0,1419559
Thu Oct 27 00:08:43 GMT 2022,0,1421422
