datetime,cpu,mem
Thu Oct 27 00:04:40 GMT 2022,38,1408126
Thu Oct 27 00:04:41 GMT 2022,5.2,1406140
Thu Oct 27 00:04:42 GMT 2022,5.2,1416469
Thu Oct 27 00:04:44 GMT 2022,5.2,1422341
Thu Oct 27 00:04:46 GMT 2022,5.2,1434964
Thu Oct 27 00:04:47 GMT 2022,59,1426368
Thu Oct 27 00:04:49 GMT 2022,59,1427423
Thu Oct 27 00:04:51 GMT 2022,59,1427615
Thu Oct 27 00:04:52 GMT 2022,59,1411967
Thu Oct 27 00:04:54 GMT 2022,51,1406213
Thu Oct 27 00:04:55 GMT 2022,51,1409541
Thu Oct 27 00:04:57 GMT 2022,51,1418029
Thu Oct 27 00:04:58 GMT 2022,51,1419556
Thu Oct 27 00:05:00 GMT 2022,0,1418113
Thu Oct 27 00:05:02 GMT 2022,0,1418021
Thu Oct 27 00:05:04 GMT 2022,0,1419868
Thu Oct 27 00:05:05 GMT 2022,58,1418734
Thu Oct 27 00:05:07 GMT 2022,58,1416624
Thu Oct 27 00:05:09 GMT 2022,58,1419787
Thu Oct 27 00:05:11 GMT 2022,0,1418187
Thu Oct 27 00:05:13 GMT 2022,0,1418237
Thu Oct 27 00:05:15 GMT 2022,0,1419860
Thu Oct 27 00:05:17 GMT 2022,62,1418677
