datetime,cpu,mem
Thu Oct 27 00:31:59 GMT 2022,38,1396212
Thu Oct 27 00:32:01 GMT 2022,6.2,1396231
Thu Oct 27 00:32:02 GMT 2022,6.2,1437126
Thu Oct 27 00:32:03 GMT 2022,6.2,1437330
Thu Oct 27 00:32:05 GMT 2022,6.2,1445038
Thu Oct 27 00:32:07 GMT 2022,61,1446780
Thu Oct 27 00:32:09 GMT 2022,61,1449176
Thu Oct 27 00:32:10 GMT 2022,61,1452903
Thu Oct 27 00:32:12 GMT 2022,61,1440461
Thu Oct 27 00:32:13 GMT 2022,0,1438914
Thu Oct 27 00:32:15 GMT 2022,0,1439222
Thu Oct 27 00:32:17 GMT 2022,0,1447610
Thu Oct 27 00:32:18 GMT 2022,0,1446817
Thu Oct 27 00:32:20 GMT 2022,54,1448134
Thu Oct 27 00:32:22 GMT 2022,54,1448270
Thu Oct 27 00:32:24 GMT 2022,54,1450168
Thu Oct 27 00:32:26 GMT 2022,-19,1447706
Thu Oct 27 00:32:27 GMT 2022,-19,1448490
Thu Oct 27 00:32:29 GMT 2022,-19,1450193
Thu Oct 27 00:32:32 GMT 2022,0,1448326
Thu Oct 27 00:32:34 GMT 2022,0,1448546
Thu Oct 27 00:32:36 GMT 2022,0,1450253
Thu Oct 27 00:32:38 GMT 2022,0,1448478
Thu Oct 27 00:32:40 GMT 2022,0,1449231
