datetime,cpu,mem
Thu Oct 27 01:35:49 GMT 2022,39,1352372
Thu Oct 27 01:35:50 GMT 2022,13,1351035
Thu Oct 27 01:35:52 GMT 2022,13,1357731
Thu Oct 27 01:35:53 GMT 2022,13,1368119
Thu Oct 27 01:35:55 GMT 2022,13,1384477
Thu Oct 27 01:35:57 GMT 2022,60,1367592
Thu Oct 27 01:35:58 GMT 2022,60,1370771
Thu Oct 27 01:36:00 GMT 2022,60,1372929
Thu Oct 27 01:36:02 GMT 2022,60,1392693
Thu Oct 27 01:36:03 GMT 2022,52,1391690
Thu Oct 27 01:36:05 GMT 2022,52,1392128
Thu Oct 27 01:36:07 GMT 2022,52,1395416
Thu Oct 27 01:36:08 GMT 2022,0,1397499
Thu Oct 27 01:36:10 GMT 2022,0,1400307
Thu Oct 27 01:36:12 GMT 2022,0,1401920
Thu Oct 27 01:36:14 GMT 2022,54,1400173
Thu Oct 27 01:36:16 GMT 2022,54,1396781
Thu Oct 27 01:36:18 GMT 2022,54,1402222
Thu Oct 27 01:36:20 GMT 2022,-1,1400917
Thu Oct 27 01:36:22 GMT 2022,-1,1401026
Thu Oct 27 01:36:24 GMT 2022,-1,1402416
Thu Oct 27 01:36:26 GMT 2022,69,1401267
Thu Oct 27 01:36:28 GMT 2022,69,1401379
