datetime,cpu,mem
Wed Oct 26 23:32:59 GMT 2022,1.4,1346855
Wed Oct 26 23:33:01 GMT 2022,11,1345260
Wed Oct 26 23:33:02 GMT 2022,11,1383456
Wed Oct 26 23:33:03 GMT 2022,11,1386594
Wed Oct 26 23:33:05 GMT 2022,11,1399847
Wed Oct 26 23:33:07 GMT 2022,59,1401711
Wed Oct 26 23:33:08 GMT 2022,59,1399061
Wed Oct 26 23:33:10 GMT 2022,59,1399064
Wed Oct 26 23:33:11 GMT 2022,59,1418475
Wed Oct 26 23:33:13 GMT 2022,51,1410297
Wed Oct 26 23:33:14 GMT 2022,51,1413773
Wed Oct 26 23:33:16 GMT 2022,51,1421374
Wed Oct 26 23:33:18 GMT 2022,51,1427807
Wed Oct 26 23:33:19 GMT 2022,46,1426478
Wed Oct 26 23:33:21 GMT 2022,46,1426654
Wed Oct 26 23:33:23 GMT 2022,46,1427943
Wed Oct 26 23:33:24 GMT 2022,48,1426636
Wed Oct 26 23:33:26 GMT 2022,48,1426993
Wed Oct 26 23:33:28 GMT 2022,48,1428354
Wed Oct 26 23:33:30 GMT 2022,0,1424492
Wed Oct 26 23:33:31 GMT 2022,0,1424469
Wed Oct 26 23:33:33 GMT 2022,0,1427007
Wed Oct 26 23:33:35 GMT 2022,60,1427122
Wed Oct 26 23:33:36 GMT 2022,60,1429708
