datetime,cpu,mem
Thu Oct 27 01:37:43 GMT 2022,69,1375236
Thu Oct 27 01:37:45 GMT 2022,0,1374689
Thu Oct 27 01:37:46 GMT 2022,0,1396901
Thu Oct 27 01:37:47 GMT 2022,0,1401755
Thu Oct 27 01:37:49 GMT 2022,0,1406932
Thu Oct 27 01:37:51 GMT 2022,60,1409661
Thu Oct 27 01:37:53 GMT 2022,60,1408739
Thu Oct 27 01:37:54 GMT 2022,60,1412822
Thu Oct 27 01:37:56 GMT 2022,0,1394479
Thu Oct 27 01:37:58 GMT 2022,0,1389943
Thu Oct 27 01:37:59 GMT 2022,0,1394898
Thu Oct 27 01:38:01 GMT 2022,54,1403543
Thu Oct 27 01:38:03 GMT 2022,54,1403863
Thu Oct 27 01:38:05 GMT 2022,54,1405530
Thu Oct 27 01:38:07 GMT 2022,-68.6,1399275
Thu Oct 27 01:38:09 GMT 2022,-68.6,1403932
Thu Oct 27 01:38:10 GMT 2022,-68.6,1405633
Thu Oct 27 01:38:13 GMT 2022,0,1404394
Thu Oct 27 01:38:15 GMT 2022,0,1404063
Thu Oct 27 01:38:17 GMT 2022,0,1405837
Thu Oct 27 01:38:19 GMT 2022,0,1404603
Thu Oct 27 01:38:21 GMT 2022,0,1404367
Thu Oct 27 01:38:23 GMT 2022,0,1399562
Thu Oct 27 01:38:26 GMT 2022,0,1399283
