datetime,cpu,mem
Wed Oct 26 23:54:07 GMT 2022,39,1390118
Wed Oct 26 23:54:08 GMT 2022,6,1389083
Wed Oct 26 23:54:09 GMT 2022,6,1414717
Wed Oct 26 23:54:11 GMT 2022,6,1417091
Wed Oct 26 23:54:12 GMT 2022,6,1431068
Wed Oct 26 23:54:14 GMT 2022,62,1422231
Wed Oct 26 23:54:16 GMT 2022,62,1425213
Wed Oct 26 23:54:17 GMT 2022,62,1427587
Wed Oct 26 23:54:19 GMT 2022,62,1411879
Wed Oct 26 23:54:21 GMT 2022,51,1410891
Wed Oct 26 23:54:22 GMT 2022,51,1402987
Wed Oct 26 23:54:24 GMT 2022,51,1414559
Wed Oct 26 23:54:25 GMT 2022,51,1419526
Wed Oct 26 23:54:27 GMT 2022,0,1418583
Wed Oct 26 23:54:29 GMT 2022,0,1418787
Wed Oct 26 23:54:30 GMT 2022,0,1420254
Wed Oct 26 23:54:32 GMT 2022,57,1418233
Wed Oct 26 23:54:34 GMT 2022,57,1418825
Wed Oct 26 23:54:36 GMT 2022,57,1420300
Wed Oct 26 23:54:38 GMT 2022,0,1417289
Wed Oct 26 23:54:40 GMT 2022,0,1418999
Wed Oct 26 23:54:41 GMT 2022,0,1420386
Wed Oct 26 23:54:43 GMT 2022,62,1419319
Wed Oct 26 23:54:46 GMT 2022,62,1421360
