datetime,cpu,mem
Thu Oct 27 00:57:04 GMT 2022,32,1445522
Thu Oct 27 00:57:05 GMT 2022,4.9,1377700
Thu Oct 27 00:57:07 GMT 2022,4.9,1450684
Thu Oct 27 00:57:08 GMT 2022,4.9,1464576
Thu Oct 27 00:57:09 GMT 2022,4.9,1477900
Thu Oct 27 00:57:10 GMT 2022,4.9,1492534
Thu Oct 27 00:57:12 GMT 2022,41,1497345
Thu Oct 27 00:57:13 GMT 2022,41,1510045
Thu Oct 27 00:57:14 GMT 2022,41,1524773
Thu Oct 27 00:57:16 GMT 2022,41,1553205
Thu Oct 27 00:57:17 GMT 2022,38,1567928
Thu Oct 27 00:57:19 GMT 2022,38,1579696
Thu Oct 27 00:57:20 GMT 2022,38,1589869
Thu Oct 27 00:57:22 GMT 2022,38,1602536
Thu Oct 27 00:57:23 GMT 2022,0,1615576
Thu Oct 27 00:57:25 GMT 2022,0,1626472
Thu Oct 27 00:57:27 GMT 2022,0,1639804
Thu Oct 27 00:57:28 GMT 2022,39,1650215
Thu Oct 27 00:57:30 GMT 2022,39,1607688
Thu Oct 27 00:57:32 GMT 2022,39,1481512
Thu Oct 27 00:57:34 GMT 2022,41,1480232
Thu Oct 27 00:57:35 GMT 2022,41,1478266
Thu Oct 27 00:57:37 GMT 2022,41,1485936
Thu Oct 27 00:57:39 GMT 2022,28,1539848
Thu Oct 27 00:57:41 GMT 2022,28,1539908
Thu Oct 27 00:57:43 GMT 2022,28,1541332
Thu Oct 27 00:57:45 GMT 2022,30,1508068
Thu Oct 27 00:57:46 GMT 2022,30,1513880
Thu Oct 27 00:57:48 GMT 2022,30,1523808
Thu Oct 27 00:57:50 GMT 2022,29,1511300
Thu Oct 27 00:57:52 GMT 2022,29,1491728
Thu Oct 27 00:57:54 GMT 2022,29,1493164
Thu Oct 27 00:57:55 GMT 2022,0,1491416
Thu Oct 27 00:57:56 GMT 2022,0,1491460
Thu Oct 27 00:57:58 GMT 2022,0,1491492
Thu Oct 27 00:57:59 GMT 2022,0,1493728
Thu Oct 27 00:58:01 GMT 2022,16,1509428
Thu Oct 27 00:58:02 GMT 2022,16,1530060
Thu Oct 27 00:58:03 GMT 2022,16,1540676
Thu Oct 27 00:58:05 GMT 2022,16,1555720
Thu Oct 27 00:58:07 GMT 2022,0,1553256
Thu Oct 27 00:58:09 GMT 2022,0,1553228
Thu Oct 27 00:58:11 GMT 2022,0,1518792
Thu Oct 27 00:58:12 GMT 2022,0,1515044
Thu Oct 27 00:58:14 GMT 2022,0,1515208
Thu Oct 27 00:58:15 GMT 2022,0,1507200
Thu Oct 27 00:58:17 GMT 2022,0,1507968
Thu Oct 27 00:58:18 GMT 2022,13,1502704
Thu Oct 27 00:58:19 GMT 2022,13,1493308
Thu Oct 27 00:58:21 GMT 2022,13,1493392
Thu Oct 27 00:58:22 GMT 2022,13,1494876
Thu Oct 27 00:58:24 GMT 2022,13,1493528
Thu Oct 27 00:58:25 GMT 2022,13,1493736
Thu Oct 27 00:58:27 GMT 2022,13,1493444
Thu Oct 27 00:58:28 GMT 2022,13,1495016
Thu Oct 27 00:58:30 GMT 2022,13,1493660
Thu Oct 27 00:58:31 GMT 2022,13,1493784
Thu Oct 27 00:58:33 GMT 2022,13,1494036
Thu Oct 27 00:58:34 GMT 2022,13,1495472
Thu Oct 27 00:58:36 GMT 2022,13,1492800
Thu Oct 27 00:58:37 GMT 2022,13,1492720
Thu Oct 27 00:58:39 GMT 2022,13,1492824
Thu Oct 27 00:58:40 GMT 2022,13,1494428
Thu Oct 27 00:58:42 GMT 2022,12,1493100
Thu Oct 27 00:58:43 GMT 2022,12,1490952
