datetime,cpu,mem
Thu Oct 27 00:26:33 GMT 2022,26,1437484
Thu Oct 27 00:26:35 GMT 2022,3.4,1436149
Thu Oct 27 00:26:36 GMT 2022,3.4,1421397
Thu Oct 27 00:26:37 GMT 2022,3.4,1439259
Thu Oct 27 00:26:38 GMT 2022,3.4,1452983
Thu Oct 27 00:26:39 GMT 2022,3.4,1465365
Thu Oct 27 00:26:41 GMT 2022,41,1470676
Thu Oct 27 00:26:42 GMT 2022,41,1482624
Thu Oct 27 00:26:44 GMT 2022,41,1497398
Thu Oct 27 00:26:45 GMT 2022,41,1526126
Thu Oct 27 00:26:46 GMT 2022,38,1539848
Thu Oct 27 00:26:48 GMT 2022,38,1550972
Thu Oct 27 00:26:49 GMT 2022,38,1562212
Thu Oct 27 00:26:50 GMT 2022,38,1573565
Thu Oct 27 00:26:52 GMT 2022,0,1582697
Thu Oct 27 00:26:53 GMT 2022,0,1596373
Thu Oct 27 00:26:55 GMT 2022,0,1607201
Thu Oct 27 00:26:57 GMT 2022,0,1633713
Thu Oct 27 00:26:58 GMT 2022,42,1456771
Thu Oct 27 00:27:00 GMT 2022,42,1457327
Thu Oct 27 00:27:02 GMT 2022,42,1456835
Thu Oct 27 00:27:03 GMT 2022,0,1455275
Thu Oct 27 00:27:05 GMT 2022,0,1455463
Thu Oct 27 00:27:06 GMT 2022,0,1455403
Thu Oct 27 00:27:07 GMT 2022,0,1470379
Thu Oct 27 00:27:09 GMT 2022,23,1517999
Thu Oct 27 00:27:10 GMT 2022,23,1517987
Thu Oct 27 00:27:12 GMT 2022,23,1516783
Thu Oct 27 00:27:13 GMT 2022,23,1484435
Thu Oct 27 00:27:15 GMT 2022,0,1490543
Thu Oct 27 00:27:17 GMT 2022,0,1497511
Thu Oct 27 00:27:18 GMT 2022,0,1504447
Thu Oct 27 00:27:20 GMT 2022,0,1471059
Thu Oct 27 00:27:21 GMT 2022,25,1469641
