datetime,cpu,mem
Thu Oct 27 01:12:36 GMT 2022,39,1459647
Thu Oct 27 01:12:37 GMT 2022,4,1460619
Thu Oct 27 01:12:38 GMT 2022,4,1461309
Thu Oct 27 01:12:39 GMT 2022,4,1478585
Thu Oct 27 01:12:41 GMT 2022,4,1492253
Thu Oct 27 01:12:42 GMT 2022,4,1506846
Thu Oct 27 01:12:43 GMT 2022,40,1511705
Thu Oct 27 01:12:44 GMT 2022,40,1524661
Thu Oct 27 01:12:46 GMT 2022,40,1538457
Thu Oct 27 01:12:47 GMT 2022,40,1566682
Thu Oct 27 01:12:48 GMT 2022,38,1580934
Thu Oct 27 01:12:50 GMT 2022,38,1592362
Thu Oct 27 01:12:51 GMT 2022,38,1603725
Thu Oct 27 01:12:53 GMT 2022,38,1615328
Thu Oct 27 01:12:54 GMT 2022,36,1626208
Thu Oct 27 01:12:55 GMT 2022,36,1639804
Thu Oct 27 01:12:57 GMT 2022,36,1651132
Thu Oct 27 01:12:59 GMT 2022,36,1663720
Thu Oct 27 01:13:00 GMT 2022,0,1628363
Thu Oct 27 01:13:02 GMT 2022,0,1493459
Thu Oct 27 01:13:04 GMT 2022,0,1495307
Thu Oct 27 01:13:06 GMT 2022,35,1491023
Thu Oct 27 01:13:07 GMT 2022,35,1490811
Thu Oct 27 01:13:08 GMT 2022,35,1490123
Thu Oct 27 01:13:10 GMT 2022,35,1528707
Thu Oct 27 01:13:11 GMT 2022,0,1553727
Thu Oct 27 01:13:12 GMT 2022,0,1553779
Thu Oct 27 01:13:14 GMT 2022,0,1553627
Thu Oct 27 01:13:16 GMT 2022,0,1520815
Thu Oct 27 01:13:17 GMT 2022,0,1528395
Thu Oct 27 01:13:19 GMT 2022,0,1537463
Thu Oct 27 01:13:21 GMT 2022,0,1504695
Thu Oct 27 01:13:22 GMT 2022,0,1506303
Thu Oct 27 01:13:24 GMT 2022,23,1504947
Thu Oct 27 01:13:26 GMT 2022,23,1504871
Thu Oct 27 01:13:27 GMT 2022,23,1504895
Thu Oct 27 01:13:28 GMT 2022,23,1506599
Thu Oct 27 01:13:30 GMT 2022,0,1505055
Thu Oct 27 01:13:31 GMT 2022,0,1506533
Thu Oct 27 01:13:33 GMT 2022,0,1592886
Thu Oct 27 01:13:34 GMT 2022,0,1622782
Thu Oct 27 01:13:35 GMT 2022,30,1621090
Thu Oct 27 01:13:37 GMT 2022,30,1636946
Thu Oct 27 01:13:39 GMT 2022,30,1637746
Thu Oct 27 01:13:41 GMT 2022,31,1636434
Thu Oct 27 01:13:42 GMT 2022,31,1531555
Thu Oct 27 01:13:44 GMT 2022,31,1529463
Thu Oct 27 01:13:45 GMT 2022,31,1530807
Thu Oct 27 01:13:46 GMT 2022,13,1526919
Thu Oct 27 01:13:48 GMT 2022,13,1521527
Thu Oct 27 01:13:49 GMT 2022,13,1517803
Thu Oct 27 01:13:51 GMT 2022,13,1511511
Thu Oct 27 01:13:52 GMT 2022,13,1507551
Thu Oct 27 01:13:54 GMT 2022,13,1507691
Thu Oct 27 01:13:55 GMT 2022,13,1507759
Thu Oct 27 01:13:57 GMT 2022,13,1509319
Thu Oct 27 01:13:58 GMT 2022,12,1507451
Thu Oct 27 01:13:59 GMT 2022,12,1507555
Thu Oct 27 01:14:01 GMT 2022,12,1507691
Thu Oct 27 01:14:02 GMT 2022,12,1509675
Thu Oct 27 01:14:04 GMT 2022,13,1508407
Thu Oct 27 01:14:05 GMT 2022,13,1508483
Thu Oct 27 01:14:07 GMT 2022,13,1508239
Thu Oct 27 01:14:08 GMT 2022,13,1508507
Thu Oct 27 01:14:10 GMT 2022,13,1507247
Thu Oct 27 01:14:11 GMT 2022,13,1505007
Thu Oct 27 01:14:13 GMT 2022,13,1505067
Thu Oct 27 01:14:14 GMT 2022,13,1506415
Thu Oct 27 01:14:16 GMT 2022,12,1500751
Thu Oct 27 01:14:17 GMT 2022,12,1500815
Thu Oct 27 01:14:18 GMT 2022,12,1500823
Thu Oct 27 01:14:20 GMT 2022,12,1502439
Thu Oct 27 01:14:21 GMT 2022,12,1500863
Thu Oct 27 01:14:23 GMT 2022,12,1501023
Thu Oct 27 01:14:24 GMT 2022,12,1500971
Thu Oct 27 01:14:26 GMT 2022,12,1502759
Thu Oct 27 01:14:27 GMT 2022,12,1501319
Thu Oct 27 01:14:29 GMT 2022,12,1501407
Thu Oct 27 01:14:30 GMT 2022,12,1501415
Thu Oct 27 01:14:32 GMT 2022,12,1502915
Thu Oct 27 01:14:33 GMT 2022,13,1501555
Thu Oct 27 01:14:34 GMT 2022,13,1501555
Thu Oct 27 01:14:36 GMT 2022,13,1501651
Thu Oct 27 01:14:37 GMT 2022,13,1503287
Thu Oct 27 01:14:39 GMT 2022,13,1501855
Thu Oct 27 01:14:40 GMT 2022,13,1501979
Thu Oct 27 01:14:42 GMT 2022,13,1501963
Thu Oct 27 01:14:43 GMT 2022,13,1503715
Thu Oct 27 01:14:45 GMT 2022,13,1502475
Thu Oct 27 01:14:46 GMT 2022,13,1502323
Thu Oct 27 01:14:48 GMT 2022,13,1502419
Thu Oct 27 01:14:49 GMT 2022,13,1503947
Thu Oct 27 01:14:50 GMT 2022,12,1502675
Thu Oct 27 01:14:52 GMT 2022,12,1501935
Thu Oct 27 01:14:53 GMT 2022,12,1501867
Thu Oct 27 01:14:55 GMT 2022,12,1503583
Thu Oct 27 01:14:56 GMT 2022,13,1502195
Thu Oct 27 01:14:58 GMT 2022,13,1502187
Thu Oct 27 01:14:59 GMT 2022,13,1502299
Thu Oct 27 01:15:01 GMT 2022,13,1503939
Thu Oct 27 01:15:02 GMT 2022,14,1502315
Thu Oct 27 01:15:03 GMT 2022,14,1502431
Thu Oct 27 01:15:05 GMT 2022,14,1502535
Thu Oct 27 01:15:06 GMT 2022,14,1504007
Thu Oct 27 01:15:08 GMT 2022,12,1503015
Thu Oct 27 01:15:09 GMT 2022,12,1502447
Thu Oct 27 01:15:11 GMT 2022,12,1502607
Thu Oct 27 01:15:12 GMT 2022,12,1504159
Thu Oct 27 01:15:14 GMT 2022,12,1502755
Thu Oct 27 01:15:15 GMT 2022,12,1502975
Thu Oct 27 01:15:17 GMT 2022,12,1502991
Thu Oct 27 01:15:18 GMT 2022,12,1504595
Thu Oct 27 01:15:20 GMT 2022,12,1503187
Thu Oct 27 01:15:21 GMT 2022,12,1503199
Thu Oct 27 01:15:23 GMT 2022,12,1503255
Thu Oct 27 01:15:24 GMT 2022,12,1505079
Thu Oct 27 01:15:25 GMT 2022,12,1503687
Thu Oct 27 01:15:27 GMT 2022,12,1503911
Thu Oct 27 01:15:28 GMT 2022,12,1503843
Thu Oct 27 01:15:30 GMT 2022,12,1505431
Thu Oct 27 01:15:31 GMT 2022,12,1504119
