datetime,cpu,mem
Thu Oct 27 00:43:43 GMT 2022,17,1428405
Thu Oct 27 00:43:45 GMT 2022,3.8,1363668
Thu Oct 27 00:43:46 GMT 2022,3.8,1436479
Thu Oct 27 00:43:47 GMT 2022,3.8,1450971
Thu Oct 27 00:43:49 GMT 2022,3.8,1465508
Thu Oct 27 00:43:50 GMT 2022,43,1469447
Thu Oct 27 00:43:51 GMT 2022,43,1483577
Thu Oct 27 00:43:53 GMT 2022,43,1496457
Thu Oct 27 00:43:54 GMT 2022,43,1528745
Thu Oct 27 00:43:56 GMT 2022,0,1536432
Thu Oct 27 00:43:58 GMT 2022,0,1551582
Thu Oct 27 00:43:59 GMT 2022,0,1564418
Thu Oct 27 00:44:01 GMT 2022,0,1573178
Thu Oct 27 00:44:03 GMT 2022,0,1585166
Thu Oct 27 00:44:05 GMT 2022,0,1597742
Thu Oct 27 00:44:06 GMT 2022,0,1609666
Thu Oct 27 00:44:09 GMT 2022,0,1620905
Thu Oct 27 00:44:10 GMT 2022,0,1635431
Thu Oct 27 00:44:12 GMT 2022,47,1589215
Thu Oct 27 00:44:14 GMT 2022,47,1464159
Thu Oct 27 00:44:17 GMT 2022,47,1473455
Thu Oct 27 00:44:19 GMT 2022,42,1522695
Thu Oct 27 00:44:20 GMT 2022,42,1524047
Thu Oct 27 00:44:22 GMT 2022,42,1525371
Thu Oct 27 00:44:24 GMT 2022,29,1488115
Thu Oct 27 00:44:26 GMT 2022,29,1496703
Thu Oct 27 00:44:28 GMT 2022,29,1505387
Thu Oct 27 00:44:30 GMT 2022,29,1511571
Thu Oct 27 00:44:32 GMT 2022,29,1475135
Thu Oct 27 00:44:34 GMT 2022,29,1476647
Thu Oct 27 00:44:36 GMT 2022,22,1475447
Thu Oct 27 00:44:37 GMT 2022,22,1475131
Thu Oct 27 00:44:39 GMT 2022,22,1475615
Thu Oct 27 00:44:40 GMT 2022,22,1493231
Thu Oct 27 00:44:42 GMT 2022,20,1508311
Thu Oct 27 00:44:44 GMT 2022,20,1595201
Thu Oct 27 00:44:45 GMT 2022,20,1609813
Thu Oct 27 00:44:48 GMT 2022,0,1608397
Thu Oct 27 00:44:49 GMT 2022,0,1608465
Thu Oct 27 00:44:51 GMT 2022,0,1501291
Thu Oct 27 00:44:53 GMT 2022,0,1499911
Thu Oct 27 00:44:55 GMT 2022,0,1491051
Thu Oct 27 00:44:57 GMT 2022,0,1487363
Thu Oct 27 00:44:58 GMT 2022,0,1488739
Thu Oct 27 00:45:00 GMT 2022,0,1477547
Thu Oct 27 00:45:01 GMT 2022,0,1477619
Thu Oct 27 00:45:03 GMT 2022,0,1479403
Thu Oct 27 00:45:05 GMT 2022,16,1477719
Thu Oct 27 00:45:06 GMT 2022,16,1477927
Thu Oct 27 00:45:07 GMT 2022,16,1477951
Thu Oct 27 00:45:09 GMT 2022,16,1479518
Thu Oct 27 00:45:10 GMT 2022,13,1478224
Thu Oct 27 00:45:12 GMT 2022,13,1478456
Thu Oct 27 00:45:14 GMT 2022,13,1478408
Thu Oct 27 00:45:15 GMT 2022,13,1478640
Thu Oct 27 00:45:17 GMT 2022,16,1477476
Thu Oct 27 00:45:18 GMT 2022,16,1477092
Thu Oct 27 00:45:20 GMT 2022,16,1477172
Thu Oct 27 00:45:21 GMT 2022,16,1478680
Thu Oct 27 00:45:23 GMT 2022,13,1477434
