datetime,cpu,mem
Thu Oct 27 01:41:08 GMT 2022,0,1408867
Thu Oct 27 01:41:09 GMT 2022,0,1342255
Thu Oct 27 01:41:11 GMT 2022,0,1417265
Thu Oct 27 01:41:12 GMT 2022,0,1431101
Thu Oct 27 01:41:13 GMT 2022,0,1446213
Thu Oct 27 01:41:15 GMT 2022,-15.3,1450433
Thu Oct 27 01:41:16 GMT 2022,-15.3,1463857
Thu Oct 27 01:41:17 GMT 2022,-15.3,1476829
Thu Oct 27 01:41:19 GMT 2022,-15.3,1489295
Thu Oct 27 01:41:20 GMT 2022,39,1482859
Thu Oct 27 01:41:22 GMT 2022,39,1499027
Thu Oct 27 01:41:23 GMT 2022,39,1510371
Thu Oct 27 01:41:25 GMT 2022,39,1522112
Thu Oct 27 01:41:27 GMT 2022,0,1532383
Thu Oct 27 01:41:28 GMT 2022,0,1546835
Thu Oct 27 01:41:30 GMT 2022,0,1559490
Thu Oct 27 01:41:32 GMT 2022,43,1523860
Thu Oct 27 01:41:33 GMT 2022,43,1410115
Thu Oct 27 01:41:35 GMT 2022,43,1411640
Thu Oct 27 01:41:37 GMT 2022,35,1408123
Thu Oct 27 01:41:39 GMT 2022,35,1408351
Thu Oct 27 01:41:40 GMT 2022,35,1409876
Thu Oct 27 01:41:42 GMT 2022,28,1453091
Thu Oct 27 01:41:44 GMT 2022,28,1470903
Thu Oct 27 01:41:45 GMT 2022,28,1470867
Thu Oct 27 01:41:47 GMT 2022,28,1471060
Thu Oct 27 01:41:49 GMT 2022,28,1438891
Thu Oct 27 01:41:51 GMT 2022,28,1447039
Thu Oct 27 01:41:52 GMT 2022,28,1455508
Thu Oct 27 01:41:54 GMT 2022,29,1421979
Thu Oct 27 01:41:56 GMT 2022,29,1422231
