datetime,cpu,mem
Thu Oct 27 00:09:58 GMT 2022,0,1419315
Thu Oct 27 00:09:59 GMT 2022,0,1426749
Thu Oct 27 00:10:00 GMT 2022,0,1411275
Thu Oct 27 00:10:01 GMT 2022,0,1427667
Thu Oct 27 00:10:03 GMT 2022,0,1441471
Thu Oct 27 00:10:04 GMT 2022,0,1455121
Thu Oct 27 00:10:05 GMT 2022,40,1460360
Thu Oct 27 00:10:07 GMT 2022,40,1472548
Thu Oct 27 00:10:08 GMT 2022,40,1485637
Thu Oct 27 00:10:09 GMT 2022,40,1512798
Thu Oct 27 00:10:11 GMT 2022,38,1526116
Thu Oct 27 00:10:12 GMT 2022,38,1539432
Thu Oct 27 00:10:14 GMT 2022,38,1550942
Thu Oct 27 00:10:16 GMT 2022,38,1563670
Thu Oct 27 00:10:17 GMT 2022,0,1573152
Thu Oct 27 00:10:19 GMT 2022,0,1586168
Thu Oct 27 00:10:20 GMT 2022,0,1597388
Thu Oct 27 00:10:22 GMT 2022,0,1620977
Thu Oct 27 00:10:24 GMT 2022,41,1444378
Thu Oct 27 00:10:25 GMT 2022,41,1444574
Thu Oct 27 00:10:27 GMT 2022,41,1443974
Thu Oct 27 00:10:29 GMT 2022,26,1442334
Thu Oct 27 00:10:31 GMT 2022,26,1441658
Thu Oct 27 00:10:32 GMT 2022,26,1441822
Thu Oct 27 00:10:33 GMT 2022,26,1443314
Thu Oct 27 00:10:35 GMT 2022,0,1441510
Thu Oct 27 00:10:36 GMT 2022,0,1441538
Thu Oct 27 00:10:38 GMT 2022,0,1440602
Thu Oct 27 00:10:39 GMT 2022,0,1442298
Thu Oct 27 00:10:40 GMT 2022,13,1448326
Thu Oct 27 00:10:42 GMT 2022,13,1503690
Thu Oct 27 00:10:43 GMT 2022,13,1503262
Thu Oct 27 00:10:44 GMT 2022,13,1504822
Thu Oct 27 00:10:46 GMT 2022,0,1468142
Thu Oct 27 00:10:48 GMT 2022,0,1476366
Thu Oct 27 00:10:50 GMT 2022,0,1486654
Thu Oct 27 00:10:51 GMT 2022,29,1493198
Thu Oct 27 00:10:53 GMT 2022,29,1457353
Thu Oct 27 00:10:55 GMT 2022,29,1475273
Thu Oct 27 00:10:57 GMT 2022,30,1498089
Thu Oct 27 00:10:58 GMT 2022,30,1505005
Thu Oct 27 00:11:00 GMT 2022,30,1520277
Thu Oct 27 00:11:02 GMT 2022,29,1518805
Thu Oct 27 00:11:04 GMT 2022,29,1518937
Thu Oct 27 00:11:05 GMT 2022,29,1480469
Thu Oct 27 00:11:06 GMT 2022,29,1482077
Thu Oct 27 00:11:08 GMT 2022,0,1480533
Thu Oct 27 00:11:09 GMT 2022,0,1472749
Thu Oct 27 00:11:11 GMT 2022,0,1472525
Thu Oct 27 00:11:12 GMT 2022,0,1470489
Thu Oct 27 00:11:14 GMT 2022,13,1458533
Thu Oct 27 00:11:15 GMT 2022,13,1458689
Thu Oct 27 00:11:16 GMT 2022,13,1458705
Thu Oct 27 00:11:18 GMT 2022,13,1460281
Thu Oct 27 00:11:19 GMT 2022,13,1458389
Thu Oct 27 00:11:21 GMT 2022,13,1458537
Thu Oct 27 00:11:22 GMT 2022,13,1458665
Thu Oct 27 00:11:23 GMT 2022,13,1460769
Thu Oct 27 00:11:25 GMT 2022,14,1459473
Thu Oct 27 00:11:26 GMT 2022,14,1459497
Thu Oct 27 00:11:28 GMT 2022,14,1459577
Thu Oct 27 00:11:29 GMT 2022,14,1460589
Thu Oct 27 00:11:31 GMT 2022,13,1458281
Thu Oct 27 00:11:32 GMT 2022,13,1458533
Thu Oct 27 00:11:33 GMT 2022,13,1458525
Thu Oct 27 00:11:35 GMT 2022,13,1460113
Thu Oct 27 00:11:36 GMT 2022,12,1456493
Thu Oct 27 00:11:38 GMT 2022,12,1456629
Thu Oct 27 00:11:39 GMT 2022,12,1456469
Thu Oct 27 00:11:40 GMT 2022,12,1453721
Thu Oct 27 00:11:42 GMT 2022,13,1452245
Thu Oct 27 00:11:43 GMT 2022,13,1452297
Thu Oct 27 00:11:45 GMT 2022,13,1452369
Thu Oct 27 00:11:46 GMT 2022,13,1453861
Thu Oct 27 00:11:48 GMT 2022,13,1452585
Thu Oct 27 00:11:49 GMT 2022,13,1452713
Thu Oct 27 00:11:50 GMT 2022,13,1452693
Thu Oct 27 00:11:52 GMT 2022,13,1454121
Thu Oct 27 00:11:53 GMT 2022,13,1452749
Thu Oct 27 00:11:55 GMT 2022,13,1452877
Thu Oct 27 00:11:56 GMT 2022,13,1452985
Thu Oct 27 00:11:57 GMT 2022,13,1454509
Thu Oct 27 00:11:59 GMT 2022,13,1453113
Thu Oct 27 00:12:00 GMT 2022,13,1453317
Thu Oct 27 00:12:02 GMT 2022,13,1453289
Thu Oct 27 00:12:03 GMT 2022,13,1454865
Thu Oct 27 00:12:04 GMT 2022,13,1453485
Thu Oct 27 00:12:06 GMT 2022,13,1453637
Thu Oct 27 00:12:07 GMT 2022,13,1453641
Thu Oct 27 00:12:09 GMT 2022,13,1455197
Thu Oct 27 00:12:10 GMT 2022,12,1453829
Thu Oct 27 00:12:12 GMT 2022,12,1453917
Thu Oct 27 00:12:13 GMT 2022,12,1453805
Thu Oct 27 00:12:14 GMT 2022,12,1454729
Thu Oct 27 00:12:16 GMT 2022,13,1453441
Thu Oct 27 00:12:17 GMT 2022,13,1453577
Thu Oct 27 00:12:19 GMT 2022,13,1453633
Thu Oct 27 00:12:20 GMT 2022,13,1455117
Thu Oct 27 00:12:21 GMT 2022,12,1453697
Thu Oct 27 00:12:23 GMT 2022,12,1453945
Thu Oct 27 00:12:24 GMT 2022,12,1453713
Thu Oct 27 00:12:26 GMT 2022,12,1455153
Thu Oct 27 00:12:27 GMT 2022,13,1453773
Thu Oct 27 00:12:28 GMT 2022,13,1453857
Thu Oct 27 00:12:30 GMT 2022,13,1453961
Thu Oct 27 00:12:31 GMT 2022,13,1455577
Thu Oct 27 00:12:33 GMT 2022,12,1454241
Thu Oct 27 00:12:34 GMT 2022,12,1454121
Thu Oct 27 00:12:36 GMT 2022,12,1454249
Thu Oct 27 00:12:37 GMT 2022,12,1455729
Thu Oct 27 00:12:38 GMT 2022,12,1454325
Thu Oct 27 00:12:40 GMT 2022,12,1454425
Thu Oct 27 00:12:41 GMT 2022,12,1454353
Thu Oct 27 00:12:43 GMT 2022,12,1456121
Thu Oct 27 00:12:44 GMT 2022,12,1454845
Thu Oct 27 00:12:45 GMT 2022,12,1454721
Thu Oct 27 00:12:47 GMT 2022,12,1454845
Thu Oct 27 00:12:48 GMT 2022,12,1456425
Thu Oct 27 00:12:50 GMT 2022,13,1454925
Thu Oct 27 00:12:51 GMT 2022,13,1454893
Thu Oct 27 00:12:53 GMT 2022,13,1455017
Thu Oct 27 00:12:54 GMT 2022,13,1456781
Thu Oct 27 00:12:56 GMT 2022,13,1455577
Thu Oct 27 00:12:57 GMT 2022,13,1455625
Thu Oct 27 00:12:58 GMT 2022,13,1455753
Thu Oct 27 00:13:00 GMT 2022,13,1457381
Thu Oct 27 00:13:01 GMT 2022,13,1455941
Thu Oct 27 00:13:03 GMT 2022,13,1456293
Thu Oct 27 00:13:04 GMT 2022,13,1456285
Thu Oct 27 00:13:06 GMT 2022,13,1457981
Thu Oct 27 00:13:07 GMT 2022,12,1456605
Thu Oct 27 00:13:08 GMT 2022,12,1456729
Thu Oct 27 00:13:10 GMT 2022,12,1456957
Thu Oct 27 00:13:11 GMT 2022,12,1458437
Thu Oct 27 00:13:13 GMT 2022,12,1457149
Thu Oct 27 00:13:14 GMT 2022,12,1454445
Thu Oct 27 00:13:16 GMT 2022,12,1454441
Thu Oct 27 00:13:17 GMT 2022,12,1455841
Thu Oct 27 00:13:18 GMT 2022,12,1450953
Thu Oct 27 00:13:20 GMT 2022,12,1450989
Thu Oct 27 00:13:21 GMT 2022,12,1450997
Thu Oct 27 00:13:23 GMT 2022,12,1453697
Thu Oct 27 00:13:24 GMT 2022,13,1452329
