datetime,cpu,mem
Thu Oct 27 00:39:20 GMT 2022,70,1454710
Thu Oct 27 00:39:22 GMT 2022,0,1459375
Thu Oct 27 00:39:23 GMT 2022,0,1534093
Thu Oct 27 00:39:24 GMT 2022,0,1549029
Thu Oct 27 00:39:26 GMT 2022,0,1564593
Thu Oct 27 00:39:27 GMT 2022,42,1565370
Thu Oct 27 00:39:28 GMT 2022,42,1580862
Thu Oct 27 00:39:30 GMT 2022,42,1518541
Thu Oct 27 00:39:31 GMT 2022,42,1533759
Thu Oct 27 00:39:32 GMT 2022,39,1523488
Thu Oct 27 00:39:34 GMT 2022,39,1539193
Thu Oct 27 00:39:36 GMT 2022,39,1550651
Thu Oct 27 00:39:37 GMT 2022,39,1562352
Thu Oct 27 00:39:39 GMT 2022,0,1572119
Thu Oct 27 00:39:41 GMT 2022,0,1585835
Thu Oct 27 00:39:43 GMT 2022,0,1597628
Thu Oct 27 00:39:44 GMT 2022,42,1616519
Thu Oct 27 00:39:46 GMT 2022,42,1445060
Thu Oct 27 00:39:48 GMT 2022,42,1446985
Thu Oct 27 00:39:50 GMT 2022,-32.9,1442392
Thu Oct 27 00:39:52 GMT 2022,-32.9,1442484
Thu Oct 27 00:39:54 GMT 2022,-32.9,1443049
Thu Oct 27 00:39:56 GMT 2022,22,1441616
Thu Oct 27 00:39:57 GMT 2022,22,1441628
Thu Oct 27 00:39:59 GMT 2022,22,1441456
Thu Oct 27 00:40:00 GMT 2022,22,1442049
Thu Oct 27 00:40:02 GMT 2022,0,1440724
Thu Oct 27 00:40:03 GMT 2022,0,1440676
Thu Oct 27 00:40:05 GMT 2022,0,1440200
Thu Oct 27 00:40:06 GMT 2022,0,1441777
Thu Oct 27 00:40:07 GMT 2022,12,1440412
Thu Oct 27 00:40:09 GMT 2022,12,1440664
Thu Oct 27 00:40:10 GMT 2022,12,1477448
Thu Oct 27 00:40:12 GMT 2022,12,1505465
Thu Oct 27 00:40:13 GMT 2022,20,1504136
Thu Oct 27 00:40:15 GMT 2022,20,1504008
Thu Oct 27 00:40:16 GMT 2022,20,1477049
Thu Oct 27 00:40:18 GMT 2022,0,1499552
Thu Oct 27 00:40:20 GMT 2022,0,1532768
Thu Oct 27 00:40:22 GMT 2022,0,1544721
Thu Oct 27 00:40:24 GMT 2022,0,1518476
Thu Oct 27 00:40:27 GMT 2022,0,1518636
Thu Oct 27 00:40:28 GMT 2022,0,1482177
Thu Oct 27 00:40:30 GMT 2022,0,1480496
Thu Oct 27 00:40:32 GMT 2022,0,1472936
Thu Oct 27 00:40:33 GMT 2022,0,1472760
