datetime,cpu,mem
Thu Oct 27 01:24:00 GMT 2022,-4.7,1369968
Thu Oct 27 01:24:01 GMT 2022,4.2,1315182
Thu Oct 27 01:24:02 GMT 2022,4.2,1383257
Thu Oct 27 01:24:04 GMT 2022,4.2,1398165
Thu Oct 27 01:24:05 GMT 2022,4.2,1411645
Thu Oct 27 01:24:06 GMT 2022,4.2,1426142
Thu Oct 27 01:24:07 GMT 2022,41,1431753
Thu Oct 27 01:24:09 GMT 2022,41,1444357
Thu Oct 27 01:24:10 GMT 2022,41,1458514
Thu Oct 27 01:24:11 GMT 2022,41,1486492
Thu Oct 27 01:24:13 GMT 2022,38,1500577
Thu Oct 27 01:24:14 GMT 2022,38,1512541
Thu Oct 27 01:24:16 GMT 2022,38,1523960
Thu Oct 27 01:24:17 GMT 2022,38,1535646
Thu Oct 27 01:24:18 GMT 2022,36,1548834
Thu Oct 27 01:24:20 GMT 2022,36,1541218
Thu Oct 27 01:24:21 GMT 2022,36,1571170
Thu Oct 27 01:24:23 GMT 2022,36,1583954
Thu Oct 27 01:24:24 GMT 2022,0,1594770
Thu Oct 27 01:24:26 GMT 2022,0,1614838
Thu Oct 27 01:24:28 GMT 2022,0,1641523
Thu Oct 27 01:24:30 GMT 2022,45,1418992
Thu Oct 27 01:24:31 GMT 2022,45,1414178
Thu Oct 27 01:24:33 GMT 2022,45,1420214
Thu Oct 27 01:24:35 GMT 2022,31,1471770
Thu Oct 27 01:24:36 GMT 2022,31,1473018
Thu Oct 27 01:24:38 GMT 2022,31,1472866
Thu Oct 27 01:24:40 GMT 2022,31,1439930
Thu Oct 27 01:24:41 GMT 2022,28,1445954
Thu Oct 27 01:24:43 GMT 2022,28,1452782
Thu Oct 27 01:24:45 GMT 2022,28,1461034
Thu Oct 27 01:24:47 GMT 2022,29,1425322
Thu Oct 27 01:24:49 GMT 2022,29,1425034
Thu Oct 27 01:24:50 GMT 2022,29,1425094
Thu Oct 27 01:24:51 GMT 2022,29,1426534
Thu Oct 27 01:24:53 GMT 2022,0,1424998
Thu Oct 27 01:24:54 GMT 2022,0,1425022
Thu Oct 27 01:24:56 GMT 2022,0,1427810
Thu Oct 27 01:24:57 GMT 2022,0,1444834
Thu Oct 27 01:24:58 GMT 2022,20,1469578
Thu Oct 27 01:25:00 GMT 2022,20,1473634
Thu Oct 27 01:25:01 GMT 2022,20,1488346
Thu Oct 27 01:25:03 GMT 2022,20,1489066
Thu Oct 27 01:25:05 GMT 2022,0,1487602
Thu Oct 27 01:25:06 GMT 2022,0,1451822
Thu Oct 27 01:25:08 GMT 2022,0,1449694
Thu Oct 27 01:25:09 GMT 2022,0,1451138
Thu Oct 27 01:25:11 GMT 2022,0,1447046
Thu Oct 27 01:25:12 GMT 2022,0,1441826
Thu Oct 27 01:25:14 GMT 2022,0,1438290
Thu Oct 27 01:25:15 GMT 2022,0,1431222
Thu Oct 27 01:25:16 GMT 2022,13,1427282
Thu Oct 27 01:25:18 GMT 2022,13,1427234
Thu Oct 27 01:25:19 GMT 2022,13,1427506
Thu Oct 27 01:25:21 GMT 2022,13,1429178
Thu Oct 27 01:25:22 GMT 2022,12,1427254
Thu Oct 27 01:25:23 GMT 2022,12,1427786
Thu Oct 27 01:25:25 GMT 2022,12,1427694
Thu Oct 27 01:25:26 GMT 2022,12,1429574
Thu Oct 27 01:25:28 GMT 2022,13,1428318
Thu Oct 27 01:25:29 GMT 2022,13,1428423
