datetime,cpu,mem
Thu Oct 27 01:02:36 GMT 2022,3.5,1445464
Thu Oct 27 01:02:37 GMT 2022,-74.3,1444353
Thu Oct 27 01:02:39 GMT 2022,-74.3,1452953
Thu Oct 27 01:02:40 GMT 2022,-74.3,1453177
Thu Oct 27 01:02:42 GMT 2022,-74.3,1457334
Thu Oct 27 01:02:43 GMT 2022,54,1459740
Thu Oct 27 01:02:45 GMT 2022,54,1459564
Thu Oct 27 01:02:46 GMT 2022,54,1458456
Thu Oct 27 01:02:48 GMT 2022,54,1438640
Thu Oct 27 01:02:49 GMT 2022,32,1439590
Thu Oct 27 01:02:51 GMT 2022,32,1439614
Thu Oct 27 01:02:52 GMT 2022,32,1436506
Thu Oct 27 01:02:54 GMT 2022,32,1438093
Thu Oct 27 01:02:56 GMT 2022,0,1436682
Thu Oct 27 01:02:57 GMT 2022,0,1436762
Thu Oct 27 01:02:59 GMT 2022,0,1436842
Thu Oct 27 01:03:01 GMT 2022,0,1438376
Thu Oct 27 01:03:02 GMT 2022,32,1437564
Thu Oct 27 01:03:04 GMT 2022,32,1437448
Thu Oct 27 01:03:06 GMT 2022,32,1437628
Thu Oct 27 01:03:07 GMT 2022,32,1439103
Thu Oct 27 01:03:09 GMT 2022,31,1437718
Thu Oct 27 01:03:11 GMT 2022,31,1437930
Thu Oct 27 01:03:12 GMT 2022,31,1439453
Thu Oct 27 01:03:14 GMT 2022,32,1437942
Thu Oct 27 01:03:16 GMT 2022,32,1442509
