datetime,cpu,mem
Wed Oct 26 23:23:00 GMT 2022,12,1358204
Wed Oct 26 23:23:01 GMT 2022,5.8,1367659
Wed Oct 26 23:23:03 GMT 2022,5.8,1385559
Wed Oct 26 23:23:04 GMT 2022,5.8,1383921
Wed Oct 26 23:23:05 GMT 2022,5.8,1385484
Wed Oct 26 23:23:07 GMT 2022,38,1384785
Wed Oct 26 23:23:08 GMT 2022,38,1383443
Wed Oct 26 23:23:09 GMT 2022,38,1384498
Wed Oct 26 23:23:11 GMT 2022,38,1404784
Wed Oct 26 23:23:12 GMT 2022,41,1403980
Wed Oct 26 23:23:14 GMT 2022,41,1401208
Wed Oct 26 23:23:15 GMT 2022,41,1401344
Wed Oct 26 23:23:16 GMT 2022,41,1402839
Wed Oct 26 23:23:18 GMT 2022,29,1401381
Wed Oct 26 23:23:19 GMT 2022,29,1401785
Wed Oct 26 23:23:21 GMT 2022,29,1401733
Wed Oct 26 23:23:22 GMT 2022,29,1403434
Wed Oct 26 23:23:23 GMT 2022,27,1401985
Wed Oct 26 23:23:25 GMT 2022,27,1401973
Wed Oct 26 23:23:26 GMT 2022,27,1401819
Wed Oct 26 23:23:28 GMT 2022,27,1403383
Wed Oct 26 23:23:29 GMT 2022,29,1401910
Wed Oct 26 23:23:31 GMT 2022,29,1401978
Wed Oct 26 23:23:32 GMT 2022,29,1402147
Wed Oct 26 23:23:34 GMT 2022,29,1403620
Wed Oct 26 23:23:35 GMT 2022,29,1403138
