datetime,cpu,mem
Thu Oct 27 01:27:58 GMT 2022,4.8,1368127
Thu Oct 27 01:28:00 GMT 2022,10,1368733
Thu Oct 27 01:28:01 GMT 2022,10,1388552
Thu Oct 27 01:28:02 GMT 2022,10,1388600
Thu Oct 27 01:28:04 GMT 2022,10,1390454
Thu Oct 27 01:28:05 GMT 2022,-18.3,1390100
Thu Oct 27 01:28:07 GMT 2022,-18.3,1391400
Thu Oct 27 01:28:08 GMT 2022,-18.3,1389666
Thu Oct 27 01:28:10 GMT 2022,-18.3,1368059
Thu Oct 27 01:28:11 GMT 2022,33,1369257
Thu Oct 27 01:28:13 GMT 2022,33,1369273
Thu Oct 27 01:28:14 GMT 2022,33,1369337
Thu Oct 27 01:28:16 GMT 2022,33,1370872
Thu Oct 27 01:28:17 GMT 2022,28,1369441
Thu Oct 27 01:28:19 GMT 2022,28,1369505
Thu Oct 27 01:28:20 GMT 2022,28,1369697
Thu Oct 27 01:28:22 GMT 2022,28,1371140
Thu Oct 27 01:28:24 GMT 2022,0,1370166
Thu Oct 27 01:28:25 GMT 2022,0,1369959
Thu Oct 27 01:28:27 GMT 2022,0,1370023
Thu Oct 27 01:28:28 GMT 2022,0,1371614
Thu Oct 27 01:28:30 GMT 2022,31,1370052
Thu Oct 27 01:28:32 GMT 2022,31,1370176
Thu Oct 27 01:28:34 GMT 2022,31,1371683
Thu Oct 27 01:28:35 GMT 2022,0,1367627
Thu Oct 27 01:28:37 GMT 2022,0,1372476
