datetime,cpu,mem
Wed Oct 26 23:49:29 GMT 2022,13,1400781
Wed Oct 26 23:49:31 GMT 2022,4.4,1398596
Wed Oct 26 23:49:32 GMT 2022,4.4,1404919
Wed Oct 26 23:49:34 GMT 2022,4.4,1405043
Wed Oct 26 23:49:35 GMT 2022,4.4,1411308
Wed Oct 26 23:49:37 GMT 2022,41,1410342
Wed Oct 26 23:49:38 GMT 2022,41,1410522
Wed Oct 26 23:49:40 GMT 2022,41,1410709
Wed Oct 26 23:49:42 GMT 2022,41,1395169
Wed Oct 26 23:49:43 GMT 2022,33,1393783
Wed Oct 26 23:49:45 GMT 2022,33,1393927
Wed Oct 26 23:49:46 GMT 2022,33,1394091
Wed Oct 26 23:49:48 GMT 2022,33,1395627
Wed Oct 26 23:49:50 GMT 2022,0,1394191
Wed Oct 26 23:49:51 GMT 2022,0,1394195
Wed Oct 26 23:49:53 GMT 2022,0,1394251
Wed Oct 26 23:49:55 GMT 2022,0,1395739
Wed Oct 26 23:49:56 GMT 2022,31,1394337
Wed Oct 26 23:49:58 GMT 2022,31,1394369
Wed Oct 26 23:50:00 GMT 2022,31,1395937
Wed Oct 26 23:50:02 GMT 2022,33,1394533
Wed Oct 26 23:50:04 GMT 2022,33,1387557
Wed Oct 26 23:50:05 GMT 2022,33,1389003
Wed Oct 26 23:50:07 GMT 2022,32,1387551
Wed Oct 26 23:50:09 GMT 2022,32,1386896
