datetime,cpu,mem
Thu Oct 27 00:53:42 GMT 2022,43,1404626
Thu Oct 27 00:53:43 GMT 2022,5.2,1401500
Thu Oct 27 00:53:44 GMT 2022,5.2,1409672
Thu Oct 27 00:53:46 GMT 2022,5.2,1409978
Thu Oct 27 00:53:47 GMT 2022,5.2,1415981
Thu Oct 27 00:53:49 GMT 2022,42,1416952
Thu Oct 27 00:53:50 GMT 2022,42,1417219
Thu Oct 27 00:53:51 GMT 2022,42,1417974
Thu Oct 27 00:53:53 GMT 2022,42,1432658
Thu Oct 27 00:53:54 GMT 2022,34,1432429
Thu Oct 27 00:53:56 GMT 2022,34,1432440
Thu Oct 27 00:53:57 GMT 2022,34,1429280
Thu Oct 27 00:53:59 GMT 2022,34,1430462
Thu Oct 27 00:54:00 GMT 2022,29,1432640
Thu Oct 27 00:54:02 GMT 2022,29,1432664
Thu Oct 27 00:54:03 GMT 2022,29,1432560
Thu Oct 27 00:54:05 GMT 2022,29,1434233
Thu Oct 27 00:54:06 GMT 2022,27,1432600
Thu Oct 27 00:54:08 GMT 2022,27,1432853
Thu Oct 27 00:54:09 GMT 2022,27,1432660
Thu Oct 27 00:54:11 GMT 2022,27,1434225
Thu Oct 27 00:54:13 GMT 2022,-7.3,1432832
Thu Oct 27 00:54:14 GMT 2022,-7.3,1432888
Thu Oct 27 00:54:16 GMT 2022,-7.3,1432848
Thu Oct 27 00:54:17 GMT 2022,-7.3,1434485
Thu Oct 27 00:54:19 GMT 2022,0,1433385
