datetime,cpu,mem
Wed Oct 26 23:59:59 GMT 2022,6.9,1393331
Thu Oct 27 00:00:01 GMT 2022,4.4,1389917
Thu Oct 27 00:00:02 GMT 2022,4.4,1397682
Thu Oct 27 00:00:03 GMT 2022,4.4,1397616
Thu Oct 27 00:00:04 GMT 2022,4.4,1404684
Thu Oct 27 00:00:06 GMT 2022,42,1405376
Thu Oct 27 00:00:07 GMT 2022,42,1405276
Thu Oct 27 00:00:09 GMT 2022,42,1404591
Thu Oct 27 00:00:10 GMT 2022,42,1406851
Thu Oct 27 00:00:12 GMT 2022,32,1386794
Thu Oct 27 00:00:13 GMT 2022,32,1387145
Thu Oct 27 00:00:14 GMT 2022,32,1387237
Thu Oct 27 00:00:16 GMT 2022,32,1388824
Thu Oct 27 00:00:17 GMT 2022,29,1387417
Thu Oct 27 00:00:19 GMT 2022,29,1387533
Thu Oct 27 00:00:20 GMT 2022,29,1387629
Thu Oct 27 00:00:22 GMT 2022,29,1389240
Thu Oct 27 00:00:23 GMT 2022,29,1387921
Thu Oct 27 00:00:25 GMT 2022,29,1387930
Thu Oct 27 00:00:26 GMT 2022,29,1387932
Thu Oct 27 00:00:27 GMT 2022,29,1389439
Thu Oct 27 00:00:29 GMT 2022,30,1388040
Thu Oct 27 00:00:30 GMT 2022,30,1387972
Thu Oct 27 00:00:32 GMT 2022,30,1388092
Thu Oct 27 00:00:34 GMT 2022,30,1389705
Thu Oct 27 00:00:35 GMT 2022,30,1406280
