datetime,cpu,mem
Thu Oct 27 00:35:26 GMT 2022,0,1414454
Thu Oct 27 00:35:28 GMT 2022,0,1414439
Thu Oct 27 00:35:29 GMT 2022,0,1422571
Thu Oct 27 00:35:30 GMT 2022,0,1422523
Thu Oct 27 00:35:31 GMT 2022,0,1426797
Thu Oct 27 00:35:33 GMT 2022,42,1430552
Thu Oct 27 00:35:35 GMT 2022,42,1430854
Thu Oct 27 00:35:36 GMT 2022,42,1429426
Thu Oct 27 00:35:38 GMT 2022,42,1412974
Thu Oct 27 00:35:39 GMT 2022,33,1413967
Thu Oct 27 00:35:41 GMT 2022,33,1414139
Thu Oct 27 00:35:42 GMT 2022,33,1414123
Thu Oct 27 00:35:44 GMT 2022,33,1415706
Thu Oct 27 00:35:46 GMT 2022,0,1414259
Thu Oct 27 00:35:47 GMT 2022,0,1414239
Thu Oct 27 00:35:49 GMT 2022,0,1414459
Thu Oct 27 00:35:50 GMT 2022,0,1415862
Thu Oct 27 00:35:52 GMT 2022,31,1414420
Thu Oct 27 00:35:54 GMT 2022,31,1414682
Thu Oct 27 00:35:55 GMT 2022,31,1416021
Thu Oct 27 00:35:57 GMT 2022,33,1414522
Thu Oct 27 00:35:59 GMT 2022,33,1414671
Thu Oct 27 00:36:01 GMT 2022,33,1416230
Thu Oct 27 00:36:02 GMT 2022,33,1415014
Thu Oct 27 00:36:04 GMT 2022,33,1407539
Thu Oct 27 00:36:06 GMT 2022,33,1409066
Thu Oct 27 00:36:07 GMT 2022,33,1412070
