datetime,cpu,mem
Thu Oct 27 00:19:11 GMT 2022,13,1403605
Thu Oct 27 00:19:12 GMT 2022,5.1,1403703
Thu Oct 27 00:19:13 GMT 2022,5.1,1423323
Thu Oct 27 00:19:15 GMT 2022,5.1,1423985
Thu Oct 27 00:19:16 GMT 2022,5.1,1426943
Thu Oct 27 00:19:17 GMT 2022,40,1431778
Thu Oct 27 00:19:19 GMT 2022,40,1427910
Thu Oct 27 00:19:20 GMT 2022,40,1427755
Thu Oct 27 00:19:22 GMT 2022,40,1429710
Thu Oct 27 00:19:23 GMT 2022,36,1408751
Thu Oct 27 00:19:25 GMT 2022,36,1409278
Thu Oct 27 00:19:26 GMT 2022,36,1409334
Thu Oct 27 00:19:27 GMT 2022,36,1410866
Thu Oct 27 00:19:29 GMT 2022,29,1409439
Thu Oct 27 00:19:30 GMT 2022,29,1409419
Thu Oct 27 00:19:32 GMT 2022,29,1409439
Thu Oct 27 00:19:34 GMT 2022,29,1411062
Thu Oct 27 00:19:35 GMT 2022,-12.3,1409531
Thu Oct 27 00:19:36 GMT 2022,-12.3,1409820
Thu Oct 27 00:19:38 GMT 2022,-12.3,1409582
Thu Oct 27 00:19:40 GMT 2022,-12.3,1411153
Thu Oct 27 00:19:42 GMT 2022,0,1409726
Thu Oct 27 00:19:43 GMT 2022,0,1409991
Thu Oct 27 00:19:45 GMT 2022,0,1410239
Thu Oct 27 00:19:46 GMT 2022,0,1411642
Thu Oct 27 00:19:48 GMT 2022,31,1410219
Thu Oct 27 00:19:49 GMT 2022,31,1410918
