datetime,cpu,mem
Wed Oct 26 23:40:44 GMT 2022,5.7,1394061
Wed Oct 26 23:40:45 GMT 2022,5.5,1391223
Wed Oct 26 23:40:47 GMT 2022,5.5,1393303
Wed Oct 26 23:40:48 GMT 2022,5.5,1398647
Wed Oct 26 23:40:49 GMT 2022,5.5,1402793
Wed Oct 26 23:40:51 GMT 2022,43,1402213
Wed Oct 26 23:40:52 GMT 2022,43,1404981
Wed Oct 26 23:40:54 GMT 2022,43,1395344
Wed Oct 26 23:40:55 GMT 2022,43,1403410
Wed Oct 26 23:40:57 GMT 2022,36,1383021
Wed Oct 26 23:40:58 GMT 2022,36,1380965
Wed Oct 26 23:40:59 GMT 2022,36,1381247
