datetime,cpu,mem
Thu Oct 27 01:07:02 GMT 2022,4.6,1408365
Thu Oct 27 01:07:04 GMT 2022,5.1,1407192
Thu Oct 27 01:07:05 GMT 2022,5.1,1445139
Thu Oct 27 01:07:06 GMT 2022,5.1,1445091
Thu Oct 27 01:07:08 GMT 2022,5.1,1447963
Thu Oct 27 01:07:09 GMT 2022,-4.7,1453693
Thu Oct 27 01:07:11 GMT 2022,-4.7,1453733
Thu Oct 27 01:07:12 GMT 2022,-4.7,1453740
Thu Oct 27 01:07:14 GMT 2022,-4.7,1469178
Thu Oct 27 01:07:15 GMT 2022,32,1468551
Thu Oct 27 01:07:16 GMT 2022,32,1468913
Thu Oct 27 01:07:18 GMT 2022,32,1465724
