datetime,cpu,mem
Thu Oct 27 00:03:11 GMT 2022,3.9,1372127
Thu Oct 27 00:03:13 GMT 2022,7.1,1368785
Thu Oct 27 00:03:14 GMT 2022,7.1,1418486
Thu Oct 27 00:03:15 GMT 2022,7.1,1406490
Thu Oct 27 00:03:16 GMT 2022,7.1,1411689
Thu Oct 27 00:03:18 GMT 2022,41,1413071
Thu Oct 27 00:03:19 GMT 2022,41,1414302
Thu Oct 27 00:03:20 GMT 2022,41,1414649
Thu Oct 27 00:03:22 GMT 2022,41,1431210
Thu Oct 27 00:03:23 GMT 2022,38,1430381
Thu Oct 27 00:03:24 GMT 2022,38,1430606
Thu Oct 27 00:03:26 GMT 2022,38,1430899
