datetime,cpu,mem
Thu Oct 27 00:33:55 GMT 2022,42,1401471
Thu Oct 27 00:33:56 GMT 2022,0,1400817
Thu Oct 27 00:33:57 GMT 2022,0,1434183
Thu Oct 27 00:33:59 GMT 2022,0,1434387
Thu Oct 27 00:34:00 GMT 2022,0,1438247
Thu Oct 27 00:34:02 GMT 2022,45,1436286
Thu Oct 27 00:34:03 GMT 2022,45,1436207
Thu Oct 27 00:34:04 GMT 2022,45,1436246
Thu Oct 27 00:34:06 GMT 2022,45,1454461
Thu Oct 27 00:34:07 GMT 2022,34,1453626
Thu Oct 27 00:34:08 GMT 2022,34,1453916
Thu Oct 27 00:34:10 GMT 2022,34,1454140
Thu Oct 27 00:34:12 GMT 2022,34,1457956
