datetime,cpu,mem
Thu Oct 27 00:23:34 GMT 2022,4.3,1342330
Thu Oct 27 00:23:35 GMT 2022,4.3,1388743
Thu Oct 27 00:23:37 GMT 2022,20,1412221
Thu Oct 27 00:23:38 GMT 2022,20,1392577
Thu Oct 27 00:23:39 GMT 2022,20,1399440
Thu Oct 27 00:23:40 GMT 2022,20,1395905
Thu Oct 27 00:23:42 GMT 2022,44,1395126
Thu Oct 27 00:23:43 GMT 2022,44,1395226
Thu Oct 27 00:23:44 GMT 2022,44,1396870
Thu Oct 27 00:23:46 GMT 2022,44,1415997
Thu Oct 27 00:23:47 GMT 2022,31,1415051
Thu Oct 27 00:23:48 GMT 2022,31,1415111
Thu Oct 27 00:23:50 GMT 2022,31,1421304
