datetime,cpu,mem
Thu Oct 27 00:55:33 GMT 2022,0,1443376
Thu Oct 27 00:55:35 GMT 2022,0,1449850
Thu Oct 27 00:55:36 GMT 2022,0,1464315
Thu Oct 27 00:55:38 GMT 2022,0,1464275
Thu Oct 27 00:55:39 GMT 2022,0,1467693
Thu Oct 27 00:55:41 GMT 2022,63,1470874
Thu Oct 27 00:55:42 GMT 2022,63,1470872
Thu Oct 27 00:55:43 GMT 2022,63,1470115
Thu Oct 27 00:55:45 GMT 2022,63,1465777
Thu Oct 27 00:55:46 GMT 2022,32,1451734
Thu Oct 27 00:55:48 GMT 2022,32,1451790
Thu Oct 27 00:55:49 GMT 2022,32,1448539
