datetime,cpu,mem
Thu Oct 27 00:06:32 GMT 2022,62,1382111
Thu Oct 27 00:06:33 GMT 2022,0,1377930
Thu Oct 27 00:06:34 GMT 2022,0,1414016
Thu Oct 27 00:06:36 GMT 2022,0,1397602
Thu Oct 27 00:06:37 GMT 2022,0,1401312
Thu Oct 27 00:06:38 GMT 2022,44,1401729
Thu Oct 27 00:06:40 GMT 2022,44,1401144
Thu Oct 27 00:06:41 GMT 2022,44,1402030
Thu Oct 27 00:06:42 GMT 2022,44,1420154
Thu Oct 27 00:06:44 GMT 2022,35,1419206
Thu Oct 27 00:06:45 GMT 2022,35,1419571
Thu Oct 27 00:06:47 GMT 2022,35,1419771
Thu Oct 27 00:06:48 GMT 2022,35,1423588
