datetime,cpu,mem
Wed Oct 26 23:57:16 GMT 2022,0,1370345
Wed Oct 26 23:57:17 GMT 2022,12,1369518
Wed Oct 26 23:57:18 GMT 2022,12,1404484
Wed Oct 26 23:57:19 GMT 2022,12,1386726
Wed Oct 26 23:57:21 GMT 2022,12,1390368
Wed Oct 26 23:57:22 GMT 2022,41,1391516
Wed Oct 26 23:57:24 GMT 2022,41,1387916
Wed Oct 26 23:57:25 GMT 2022,41,1387896
Wed Oct 26 23:57:26 GMT 2022,41,1408366
Wed Oct 26 23:57:28 GMT 2022,38,1406834
Wed Oct 26 23:57:29 GMT 2022,38,1407245
Wed Oct 26 23:57:30 GMT 2022,38,1407506
