datetime,cpu,mem
Thu Oct 27 00:25:04 GMT 2022,31,1410561
Thu Oct 27 00:25:05 GMT 2022,-3.4,1409413
Thu Oct 27 00:25:06 GMT 2022,-3.4,1459418
Thu Oct 27 00:25:08 GMT 2022,-3.4,1444446
Thu Oct 27 00:25:09 GMT 2022,-3.4,1450497
Thu Oct 27 00:25:10 GMT 2022,63,1447625
Thu Oct 27 00:25:12 GMT 2022,63,1448457
Thu Oct 27 00:25:13 GMT 2022,63,1448019
Thu Oct 27 00:25:14 GMT 2022,63,1449651
Thu Oct 27 00:25:16 GMT 2022,34,1431103
Thu Oct 27 00:25:17 GMT 2022,34,1431428
Thu Oct 27 00:25:18 GMT 2022,34,1431082
Thu Oct 27 00:25:20 GMT 2022,34,1434323
