datetime,cpu,mem
Thu Oct 27 00:30:31 GMT 2022,63,1431467
Thu Oct 27 00:30:33 GMT 2022,0,1367296
Thu Oct 27 00:30:34 GMT 2022,0,1461951
Thu Oct 27 00:30:35 GMT 2022,0,1431815
Thu Oct 27 00:30:37 GMT 2022,0,1433320
Thu Oct 27 00:30:38 GMT 2022,49,1423373
Thu Oct 27 00:30:39 GMT 2022,49,1423378
Thu Oct 27 00:30:41 GMT 2022,49,1423449
Thu Oct 27 00:30:42 GMT 2022,49,1439991
Thu Oct 27 00:30:43 GMT 2022,38,1437788
Thu Oct 27 00:30:45 GMT 2022,38,1443191
