datetime,cpu,mem
Thu Oct 27 01:43:11 GMT 2022,29,1392466
Thu Oct 27 01:43:12 GMT 2022,0,1332868
Thu Oct 27 01:43:13 GMT 2022,0,1395963
Thu Oct 27 01:43:15 GMT 2022,0,1396199
Thu Oct 27 01:43:16 GMT 2022,0,1398159
Thu Oct 27 01:43:18 GMT 2022,43,1388877
Thu Oct 27 01:43:19 GMT 2022,43,1401654
